1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.349305	0.000000	1726.120067	0.000196	39.0
1	-0.350203	0.000000	1726.120067	0.000469	1.0
2	-0.314173	0.000000	1726.120067	0.000268	1.0
3	-0.357034	0.000000	1726.120067	0.000084	1.3
4	-0.343328	0.289296	1702.664156	0.000400	1.0
5	-0.331136	1.172282	1634.857514	0.000345	1.0
6	-0.349547	0.573974	1680.196807	0.000200	0.9
7	-0.351393	0.000000	1726.120067	0.000685	1.1
8	-0.329909	0.932534	1652.728357	0.000442	0.9
9	-0.338229	0.191055	1710.557667	0.000452	1.0
10	-0.337547	0.000000	1726.120067	0.000264	0.9
11	-0.357314	0.000000	1726.120067	0.000249	0.9
12	-0.326271	0.938855	1652.252186	0.000422	0.9
13	-0.337788	0.204576	1709.466947	0.000312	0.8
14	-0.298277	0.000000	1726.120067	0.000617	1.0
15	-0.331700	0.999999	1647.660106	0.000596	1.0
16	-0.342276	0.258512	1705.129724	0.000339	0.9
17	-0.313738	0.000000	1726.120067	0.000446	1.0
18	-0.330088	0.000000	1726.120067	0.000573	0.9
19	-0.303047	0.999944	1647.664248	0.000678	0.9
20	-0.342762	1.999944	1576.026498	0.000407	0.9
21	-0.333459	1.258497	1628.525099	0.000625	1.0
22	-0.345175	0.517012	1684.644784	0.000358	1.0
23	-0.309249	0.000000	1726.120067	0.000277	0.9
24	-0.328602	0.936734	1652.411952	0.000493	0.9
25	-0.352515	0.195342	1710.211665	0.000587	1.1
26	-0.323019	0.000000	1726.120067	0.000223	1.0
27	-0.332802	0.789078	1663.609694	0.000540	1.3
28	-0.334200	0.836869	1659.968821	0.000547	1.1
29	-0.336825	0.095382	1718.315493	0.000192	0.9
30	-0.330653	0.000000	1726.120067	0.000359	1.2
31	-0.339303	0.906153	1654.718683	0.000593	1.1
32	-0.315607	0.181744	1711.309599	0.000460	0.9
33	-0.335775	1.181744	1634.160137	0.000345	0.9
34	-0.326282	2.118498	1567.944513	0.000297	1.1
35	-0.325107	1.955846	1579.054049	0.000310	1.0
36	-0.357283	2.930581	1514.736371	0.000527	0.9
37	-0.359618	2.189633	1563.134744	0.000462	0.9
38	-0.327473	1.448150	1614.766532	0.000329	0.9
39	-0.332397	2.447889	1545.918316	0.000323	0.8
40	-0.346243	1.706849	1596.369542	0.000202	0.9
41	-0.328728	2.690215	1530.105206	0.000125	1.0
42	-0.323484	2.348477	1552.500460	0.000537	1.1
43	-0.330041	3.271996	1493.429745	0.000267	1.4
44	-0.351344	2.542149	1539.728633	0.000565	1.1
45	-0.330377	1.800680	1589.799989	0.000116	1.1
46	-0.317433	1.359027	1621.203020	0.000263	1.2
47	-0.343700	0.813193	1661.770510	0.000202	1.1
48	-0.323646	1.717588	1595.614844	0.000406	0.9
49	-0.338999	1.310671	1624.716795	0.000583	0.9
50	-0.339925	0.569269	1680.563244	0.000505	0.8
51	-0.345329	1.569140	1606.110015	0.000546	0.9
52	-0.313068	0.827680	1660.667640	0.000423	0.9
53	-0.321614	1.827673	1587.920116	0.000557	1.0
54	-0.323445	2.824440	1521.484737	0.000327	1.0
55	-0.365119	2.083168	1570.344319	0.000412	0.9
56	-0.337002	1.341745	1622.457036	0.000211	0.9
57	-0.332435	0.606441	1677.672033	0.000383	0.9
58	-0.318908	1.107171	1639.672578	0.000305	1.0
59	-0.348686	0.367514	1696.431425	0.000251	1.1
60	-0.348455	0.789191	1663.601033	0.000366	1.1
61	-0.328932	0.404755	1693.479892	0.000230	1.4
62	-0.352890	0.000000	1726.120067	0.000268	1.2
63	-0.361962	0.000000	1726.120067	0.000591	1.1
64	-0.336668	0.999975	1647.661952	0.000679	0.9
65	-0.348659	0.479027	1687.624035	0.000540	0.9
66	-0.346207	1.394762	1618.616085	0.000278	1.0
67	-0.363043	0.653844	1673.999364	0.000343	0.9
68	-0.335502	0.353106	1697.576088	0.000403	0.9
69	-0.327230	1.097702	1640.375182	0.000300	0.9
70	-0.339355	0.380343	1695.413477	0.000623	0.9
71	-0.358671	0.000000	1726.120067	0.000551	1.0
72	-0.352023	0.000000	1726.120067	0.000473	1.3
73	-0.333571	0.000000	1726.120067	0.000167	1.0
74	-0.374240	0.000000	1726.120067	0.000336	0.8
75	-0.350896	0.123790	1716.004616	0.000420	0.8
76	-0.340006	1.123516	1638.461114	0.000226	0.8
77	-0.341732	2.057255	1572.109153	0.000458	0.8
78	-0.326954	1.316599	1624.285233	0.000113	0.9
79	-0.325167	1.925664	1581.132896	0.000283	1.0
80	-0.324562	1.837688	1587.223783	0.000432	1.0
81	-0.350703	1.096253	1640.482697	0.000362	0.9
82	-0.342046	0.805686	1662.342661	0.000197	0.8
83	-0.344398	0.091377	1718.641741	0.000705	1.0
84	-0.342547	0.000000	1726.120067	0.000201	1.0
85	-0.307582	0.000000	1726.120067	0.000468	0.8
86	-0.339210	0.000000	1726.120067	0.000190	0.9
87	-0.340045	0.000000	1726.120067	0.000103	0.9
88	-0.352612	0.000000	1726.120067	0.000425	0.9
89	-0.339386	0.621151	1676.530604	0.000491	0.9
90	-0.331083	1.617954	1602.643688	0.000647	0.9
91	-0.335797	0.876659	1656.949594	0.000758	0.8
92	-0.327066	0.135172	1715.080496	0.000683	0.9
93	-0.342504	0.000000	1726.120067	0.000398	0.9
94	-0.336496	0.922095	1653.515354	0.000566	0.9
95	-0.334715	0.180609	1711.401249	0.000764	0.9
96	-0.358847	0.000000	1726.120067	0.000359	1.2
97	-0.352704	0.999988	1647.660998	0.000423	1.3
98	-0.343649	1.999985	1576.023723	0.000375	0.8
99	-0.354295	1.275653	1627.270863	0.000508	0.8
100	-0.336362	0.534170	1683.302498	0.000352	0.8
101	-0.353454	0.000000	1726.120067	0.000134	0.8
102	-0.342147	0.685353	1671.567036	0.000447	0.8
103	-0.377250	0.000000	1726.120067	0.000398	0.9
104	-0.327155	0.000000	1726.120067	0.000732	0.9
105	-0.333382	0.000000	1726.120067	0.000149	1.0
106	-0.301176	0.000000	1726.120067	0.000298	0.8
107	-0.337791	0.000000	1726.120067	0.000319	0.8
108	-0.354637	0.779219	1664.362795	0.000269	0.8
109	-0.312682	1.752536	1593.163973	0.000565	0.9
110	-0.328697	2.741850	1526.777446	0.000356	0.9
111	-0.306598	3.410892	1484.932279	0.000595	0.9
112	-0.308090	2.669408	1531.450251	0.000676	0.9
113	-0.334782	1.934459	1580.526522	0.000478	1.1
114	-0.356884	1.192974	1633.333203	0.000541	1.3
115	-0.329909	0.451493	1689.790156	0.000519	1.0
116	-0.356563	0.000000	1726.120067	0.000596	0.8
117	-0.356196	0.000000	1726.120067	0.000240	0.8
118	-0.340453	0.000000	1726.120067	0.000485	0.8
119	-0.362376	0.999931	1647.665264	0.000574	0.9
120	-0.366826	0.259275	1705.068592	0.000875	0.9
121	-0.313455	0.000000	1726.120067	0.000217	0.9
122	-0.364910	0.998823	1647.748187	0.000491	0.9
123	-0.356790	1.998598	1576.118715	0.000315	0.9
124	-0.368987	2.978330	1511.720021	0.000356	0.8
125	-0.331627	3.688117	1468.257871	0.000253	1.0
126	-0.323728	3.531542	1477.629146	0.000483	0.9
127	-0.349652	4.531476	1419.758140	0.000676	0.8
128	-0.337386	5.530978	1366.271565	0.000106	0.8
