1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.141322	0.000000	575.920808	0.001641	27.2
1	-0.122281	0.000000	575.920808	0.000783	1.3
2	-0.119826	0.000000	575.920808	0.001876	1.2
3	-0.131411	0.999990	549.742848	0.000674	1.4
4	-0.104851	0.545123	561.349185	0.001086	3.8
5	-0.097077	1.528227	536.852591	0.001775	1.6
6	-0.122603	2.294850	519.185006	0.001370	1.4
7	-0.116075	1.688699	533.055550	0.001074	1.2
8	-0.124339	1.283023	542.760152	0.001277	1.5
9	-0.128945	1.497355	537.589281	0.001346	1.3
10	-0.109339	2.496897	514.720600	0.000604	1.3
11	-0.104721	3.393219	495.807339	0.000713	1.3
12	-0.111482	3.104819	501.739388	0.000940	1.3
13	-0.122841	2.510155	514.430334	0.001333	1.6
14	-0.109524	3.320011	497.299810	0.000913	1.6
15	-0.122536	2.716481	509.954953	0.000378	1.5
16	-0.122135	3.256440	498.603141	0.000841	1.6
17	-0.115984	4.029655	483.200304	0.001238	1.6
18	-0.136282	4.999927	465.168113	0.000857	1.6
19	-0.117755	5.436814	457.480886	0.001522	1.6
20	-0.130445	6.436567	440.810872	0.000874	1.5
21	-0.137574	5.830747	450.764072	0.001125	1.6
22	-0.113587	6.256353	443.725427	0.000483	1.4
23	-0.124283	5.918318	449.297655	0.000551	3.5
24	-0.118920	6.378210	441.750459	0.002133	1.8
25	-0.130781	6.805475	434.962435	0.000849	1.7
26	-0.105749	7.805390	419.863680	0.001121	1.5
27	-0.136154	7.437275	425.298731	0.000306	1.4
28	-0.132704	7.099531	430.410632	0.000836	1.2
29	-0.125798	7.841992	419.330851	0.001582	1.6
30	-0.094866	7.236563	428.321855	0.000562	1.6
31	-0.136991	6.817417	434.775704	0.001385	1.7
32	-0.112751	7.756451	420.578219	0.000847	1.4
33	-0.123146	8.283432	413.009542	0.001252	1.3
34	-0.139992	8.234987	413.693935	0.001649	1.2
35	-0.146944	9.233543	400.030418	0.001647	1.4
36	-0.130707	10.233543	387.222700	0.000701	1.4
37	-0.127848	11.229177	375.260503	0.001494	1.3
38	-0.113620	10.654175	382.077155	0.000836	1.2
39	-0.110710	11.556431	371.488413	0.001136	1.3
40	-0.097257	12.446076	361.607051	0.002680	1.3
41	-0.147842	13.446076	351.109279	0.001176	1.2
42	-0.152809	14.446076	341.203831	0.001070	1.3
43	-0.092341	14.149566	344.082110	0.000850	1.5
44	-0.109629	13.551241	350.040595	0.001235	1.3
45	-0.119563	14.550988	340.196931	0.001465	1.2
46	-0.122057	15.054781	335.443362	0.000775	1.2
47	-0.123563	15.329002	332.911342	0.001200	1.3
